"","Country.Name","Country.Code","Region","Income.Group","Special.Notes","Year","Life.Expectancy","Fertility.Rate","Population"
"1","Aruba","ABW","Latin America & Caribbean","High income","SNA data for 2000-2011 are updated from official government statistics; 1994-1999 from UN databases. Base year has changed from 1995 to 2000.",1960,65.56936585,4.82,54208
"2","Afghanistan","AFG","South Asia","Low income","Fiscal year end: March 20; reporting period for national accounts data is calendar year, estimated to insure consistency between national accounts and fiscal data. National accounts data are sourced from the IMF and differ from the Central Statistics Organization numbers due to exclusion of the opium economy.",1960,32.3285122,7.45,8994793
"3","Angola","AGO","Sub-Saharan Africa","Upper middle income","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2002.",1960,32.98482927,7.379,5270844
"4","Albania","ALB","Europe & Central Asia","Upper middle income","",1960,62.25436585,6.489,1608800
"5","Andorra","AND","Europe & Central Asia","High income","The base year has changed to 2000. Price valuation is in basic prices.",1960,NA,NA,13414
"7","United Arab Emirates","ARE","Middle East & North Africa","High income","April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised for 2001 onward; the base year changed to 2007.",1960,52.24321951,6.928,92612
"8","Argentina","ARG","Latin America & Caribbean","Upper middle income","National Institute of Statistics and Census revised national accounts from 2004-2015. Argentina, which was temporarily unclassified in July 2016 pending release of revised national accounts statistics, is classified as upper middle income for FY17 as of September 29, 2016.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. An alternative conversion factor is used when the official exchange rate is judged to diverge by an exceptionally large margin from the rate effectively applied to domestic transactions of foreign currencies and traded products. In the case of Argentina, the World Bank has found that during 2012-2015 there were two exchange rates (official and parallel) and parallel exchange rate (blue chip swap rate) was used in around 20% of the transactions. Based on this information an alternative conversion factor has been calculated using a weighted average method for this period.",1960,65.21553659,3.109,20619075
"9","Armenia","ARM","Europe & Central Asia","Lower middle income","",1960,65.86346341,4.55,1867396
"10","American Samoa","ASM","East Asia & Pacific","Upper middle income","",1960,NA,NA,20012
"11","Antigua and Barbuda","ATG","Latin America & Caribbean","High income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",1960,61.78273171,4.425,54681
"12","Australia","AUS","East Asia & Pacific","High income","Fiscal year end: June 30; reporting period for national accounts data: FY. Value added current series updated by the Australian Bureau of Statistics; data revised from 1990 onward; Australia reports using SNA 2008.",1960,70.81707317,3.453,10276477
"13","Austria","AUT","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,68.58560976,2.69,7047539
"14","Azerbaijan","AZE","Europe & Central Asia","Upper middle income","April 2012 database update: National accounts historical expenditure series in constant prices were revised in line with State Statistical Committee data that were not previously available.",1960,60.8362439,5.571,3897889
"15","Burundi","BDI","Sub-Saharan Africa","Low income","",1960,41.23604878,6.953,2786740
"16","Belgium","BEL","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",1960,69.70195122,2.54,9153489
"17","Benin","BEN","Sub-Saharan Africa","Low income","Based on official government statistics, the new base year is 2007. Price valuation is in basic prices.",1960,37.27826829,6.282,2431620
"18","Burkina Faso","BFA","Sub-Saharan Africa","Low income","",1960,34.47790244,6.291,4829291
"19","Bangladesh","BGD","South Asia","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.",1960,45.82931707,6.725,48200702
"20","Bulgaria","BGR","Europe & Central Asia","Upper middle income","The new reference year for chain linked series is 2010. April 2011 database update: The National Statistical Office revised national accounts data from 1995 onward. GDP in current prices were about 4 percent higher than previous estimates.",1960,69.24756098,2.31,7867374
"21","Bahrain","BHR","Middle East & North Africa","High income","Based on official government statistics; the new base year is 2010.",1960,52.08936585,7.09,162501
"22","Bahamas, The","BHS","Latin America & Caribbean","High income","",1960,62.72904878,4.495,109526
"23","Bosnia and Herzegovina","BIH","Europe & Central Asia","Upper middle income","Based on official government statistics for chain linked series; the new reference year is 2010.",1960,60.27621951,3.77,3214520
"24","Belarus","BLR","Europe & Central Asia","Upper middle income","In July 2016 a new Belarusian ruble was introduced, at a rate of 1 new ruble = 10,000 old rubles. Local currency values in this database are in old rubels.",1960,67.70809756,2.67,8198000
"25","Belize","BLZ","Latin America & Caribbean","Upper middle income","",1960,59.96136585,6.5,92068
"26","Bermuda","BMU","North America","High income","",1960,NA,NA,44400
"27","Bolivia","BOL","Latin America & Caribbean","Lower middle income","",1960,42.11831707,6.7,3693451
"28","Brazil","BRA","Latin America & Caribbean","Upper middle income","Based on official government statistics, the new reference year is 2000.",1960,54.20546341,6.21,72493585
"29","Barbados","BRB","Latin America & Caribbean","High income","",1960,60.73804878,4.333,230934
"30","Brunei Darussalam","BRN","East Asia & Pacific","High income","National accounts revision is based on data from the Asian Development Bank and the IMF. Data have been revised from 2010-2015; the new base year is 2010.",1960,62.50036585,6.487,81825
"31","Bhutan","BTN","South Asia","Lower middle income","April 2013 database update: Data were updated using the government of Bhutan macroeconomic framework.",1960,32.35936585,6.67,224108
"32","Botswana","BWA","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006. Data before 2006 were reported on a fiscal year basis.",1960,50.54773171,6.615,524029
"33","Central African Republic","CAF","Sub-Saharan Africa","Low income","The source of national accounts has changed to the International Monetary Fund. The base year has reverted back to 1985.",1960,36.48263415,5.84,1503501
"34","Canada","CAN","North America","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.",1960,71.13317073,3.811,17909009
"36","Switzerland","CHE","Europe & Central Asia","High income","",1960,71.31341463,2.44,5327827
"37","Channel Islands","CHI","Europe & Central Asia","High income","",1960,70.63978049,2.421,109419
"38","Chile","CHL","Latin America & Caribbean","High income","",1960,57.45829268,5.113,7695692
"39","China","CHN","East Asia & Pacific","Upper middle income","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. National accounts have been revised from 2010-2015 based on the National Bureau of Statistics data and World Bank estimates. The new base year is 2010.",1960,43.354,5.754,667070000
"40","Cote d'Ivoire","CIV","Sub-Saharan Africa","Lower middle income","The new base year is 2009.",1960,36.87241463,7.351,3474724
